gid,population_c,building_c,geometry,학교,교통_소,주택,대형마트,백화점,교통_대,동일업체,경쟁업체
다바9513,8845.0,928.0,"POLYGON ((127.4443012392415 36.31433377951827, 127.44429482457441 36.32334923834445, 127.4554358562381 36.323353911124364, 127.45544098797333 36.31433845076714, 127.4443012392415 36.31433377951827))",1,1,8,0,0,0,0,0
다바9209,16.0,7.0,"POLYGON ((127.41092302066328 36.27825159240424, 127.41091277543623 36.28726709910612, 127.42204866854571 36.28727487686156, 127.42205763312388 36.27825936761024, 127.41092302066328 36.27825159240424))",0,0,0,0,0,0,0,0
다바9724,26.0,16.0,"POLYGON ((127.46653830794119 36.41351141119388, 127.46653444027802 36.42252672275395, 127.47768962589683 36.42252932811295, 127.47769220433939 36.413514015700166, 127.46653830794119 36.41351141119388))",0,0,0,0,0,0,0,0
다바8812,14236.0,1383.0,"POLYGON ((127.36633849813383 36.305256563119514, 127.36632310983428 36.31427201533448, 127.37746282664742 36.31428395293435, 127.3774769325996 36.305268496807614, 127.36633849813383 36.305256563119514))",4,0,7,0,0,0,0,0
다바8721,77.0,112.0,"POLYGON ((127.35504976767889 36.38638213247579, 127.35503303022641 36.39539745768929, 127.36618430697762 36.39541047164371, 127.3661997569468 36.386395142169576, 127.35504976767889 36.38638213247579))",1,0,0,0,0,0,0,0
다바8224,53.0,26.0,"POLYGON ((127.29923038898326 36.4133473280084, 127.29920718325148 36.42236258584805, 127.31036228290495 36.422380823212954, 127.31038419945534 36.41336555940437, 127.29923038898326 36.4133473280084))",0,0,0,0,0,0,0,0
다바8726,0.0,1.0,"POLYGON ((127.35496600598128 36.43145862207642, 127.35494923129419 36.44047387904997, 127.36610695405166 36.44048691432202, 127.36612243839132 36.43147165308301, 127.35496600598128 36.43145862207642))",0,0,0,0,0,0,0,0
다바8012,10.0,7.0,"POLYGON ((127.27723131637966 36.30512373648289, 127.27720566943518 36.314139145158286, 127.28834531557183 36.314159387039865, 127.28836968020114 36.30514397173152, 127.27723131637966 36.30512373648289))",0,0,0,0,0,0,0,0
다바9110,0.0,1.0,"POLYGON ((127.39977688688036 36.28725828432044, 127.39976535588376 36.29627377450671, 127.4109025256556 36.2962825921824, 127.41091277543623 36.28726709910612, 127.39977688688036 36.28725828432044))",0,0,0,0,0,0,0,0
다바8928,0.0,7.0,"POLYGON ((127.37725048339371 36.44951415829331, 127.37723627678194 36.45852939615519, 127.38839659516094 36.458540352965805, 127.38840951027171 36.449525111519286, 127.37725048339371 36.44951415829331))",0,0,0,0,0,0,0,0
다바8819,2198.0,53.0,"POLYGON ((127.36623063629423 36.368364442293284, 127.3662152000513 36.37737979905233, 127.37736390926953 36.37739176405951, 127.3773780591699 36.36837640338246, 127.36623063629423 36.368364442293284))",2,0,1,0,0,0,0,0
다바8623,50.0,0.0,"POLYGON ((127.34386372797054 36.40439870959402, 127.34384568700966 36.41341400291189, 127.3549995329977 36.413428067178856, 127.35501628533382 36.40441276925742, 127.34386372797054 36.40439870959402))",0,0,0,0,0,0,0,0
다바8822,83.0,64.0,"POLYGON ((127.36618430697762 36.39541047164371, 127.36616885014061 36.404425787473414, 127.37732142181838 36.40443776423992, 127.37733559059664 36.39542244448954, 127.36618430697762 36.39541047164371))",0,0,0,0,0,0,0,0
다바9009,8.0,6.0,"POLYGON ((127.38865380996556 36.27823293192269, 127.3886410034473 36.287248432505926, 127.39977688688036 36.28725828432044, 127.39978841275419 36.27824278050791, 127.38865380996556 36.27823293192269))",0,0,0,0,0,0,0,0
다바9301,0.0,1.0,"POLYGON ((127.42212920652825 36.20613480325822, 127.42212027376011 36.21515042146194, 127.43324594156451 36.21515714452374, 127.43325359822626 36.206141524114514, 127.42212920652825 36.20613480325822))",0,0,0,0,0,0,0,0
다바8507,64.0,49.0,"POLYGON ((127.3330192865366 36.26013713915871, 127.33300009390432 36.26915264575631, 127.34413338249671 36.26916767283098, 127.34415129563767 36.26015216130672, 127.3330192865366 36.26013713915871))",0,0,0,0,0,0,0,0
다바9729,164.0,106.0,"POLYGON ((127.46651895242425 36.458587832550435, 127.4665150761566 36.46760307588212, 127.47767671648037 36.46760568550758, 127.47767930065925 36.458590441322215, 127.46651895242425 36.458587832550435))",0,0,0,0,0,0,0,0
다바9503,249.0,168.0,"POLYGON ((127.44436522938219 36.22417844193215, 127.44435884315575 36.233194036979306, 127.45548707111871 36.233198694464306, 127.4554921801014 36.224183097889565, 127.44436522938219 36.22417844193215))",1,0,0,0,0,0,0,0
다바8933,0.0,4.0,"POLYGON ((127.37717938714928 36.49459021106354, 127.37716514893026 36.50360538064936, 127.38833193343156 36.50361635539538, 127.38834487727627 36.49460118222084, 127.37717938714928 36.49459021106354))",0,0,0,0,0,0,0,0
다바9127,688.0,309.0,"POLYGON ((127.39958016133082 36.440519763246726, 127.39956854288863 36.44953502158626, 127.41072758067057 36.44954388849259, 127.41073790818068 36.44052862725187, 127.39958016133082 36.440519763246726))",0,0,1,0,0,0,0,0
다바9707,15.0,26.0,"POLYGON ((127.46660379591764 36.26024902854353, 127.46659995736327 36.269264571836324, 127.47773330396103 36.269267162725534, 127.47773586299772 36.260251618583304, 127.46660379591764 36.26024902854353))",0,0,0,0,0,0,0,0
다바9719,306.0,152.0,"POLYGON ((127.46655762049473 36.36843464879262, 127.46655376141639 36.377450028548644, 127.47770250665792 36.37745262964602, 127.47770507937724 36.36843724903825, 127.46655762049473 36.36843464879262))",1,0,0,0,0,0,0,0
다바8614,1496.0,125.0,"POLYGON ((127.34402573633284 36.323260455741924, 127.34400776738529 36.33227587184232, 127.35515003634094 36.33228989471487, 127.35516672180741 36.323274474020316, 127.34402573633284 36.323260455741924))",0,0,0,0,0,0,0,0
다바9428,3804.0,333.0,"POLYGON ((127.43304566943395 36.44955849281782, 127.43303792035069 36.45857374518894, 127.4441982616958 36.458579484483124, 127.4442047192676 36.44956423023433, 127.43304566943395 36.44955849281782))",2,0,3,0,0,0,0,0
다바7909,66.0,34.0,"POLYGON ((127.26617367995453 36.27805617659413, 127.26614678657522 36.287071619220676, 127.27728257609137 36.28709287820993, 127.27730818886893 36.27807742861503, 127.26617367995453 36.27805617659413))",0,0,0,0,0,0,0,0
다바7913,24.0,17.0,"POLYGON ((127.26606603469786 36.31411786525449, 127.26603909347409 36.32313325331273, 127.27718001109135 36.32315454019121, 127.27720566943518 36.314139145158286, 127.26606603469786 36.31411786525449))",0,0,0,0,0,0,0,0
다바9116,6374.0,616.0,"POLYGON ((127.39970762397725 36.34135102099844, 127.39969606219489 36.35036642939965, 127.41084093123015 36.350375264429175, 127.41085120837595 36.34135985313402, 127.39970762397725 36.34135102099844))",0,0,4,0,0,0,0,0
다바8608,15.0,14.0,"POLYGON ((127.34413338249671 36.26916767283098, 127.34411546139427 36.27818317072723, 127.35525003801173 36.27819716605042, 127.35526667905056 36.26918166356624, 127.34413338249671 36.26916767283098))",0,0,0,0,0,0,0,0
다바8824,15.0,10.0,"POLYGON ((127.36615338643266 36.41344108965741, 127.3661379158506 36.422456378194376, 127.3772930653638 36.42246836280487, 127.37730724674174 36.41345307034547, 127.36615338643266 36.41344108965741))",0,0,0,0,0,0,0,0
다바8610,910.0,28.0,"POLYGON ((127.3440975323267 36.28719865499412, 127.34407959529041 36.296214125630364, 127.35521673374214 36.29622813013251, 127.35523338957672 36.287212654906284, 127.3440975323267 36.28719865499412))",0,0,1,0,0,0,0,0
다바9318,16265.0,2236.0,"POLYGON ((127.42197680832933 36.359398460261275, 127.42196780782616 36.36841384684018, 127.43311525642099 36.36842060747226, 127.4331229711414 36.35940521867932, 127.42197680832933 36.359398460261275))",3,0,2,0,0,0,0,1
다바9807,0.0,9.0,"POLYGON ((127.47773586299772 36.260251618583304, 127.47773330396103 36.269267162725534, 127.48886665169618 36.26926871725922, 127.48886793121467 36.26025317260734, 127.47773586299772 36.260251618583304))",0,0,0,0,0,0,0,0
다바8518,11168.0,731.0,"POLYGON ((127.33280769778182 36.35930696191215, 127.33278841110395 36.36832231851669, 127.34393581168975 36.3683373998582, 127.34395381260673 36.359322038314716, 127.33280769778182 36.35930696191215))",2,0,5,0,0,1,0,0
다바8719,51.0,27.0,"POLYGON ((127.35508322027701 36.368351441117824, 127.35506649769462 36.37736679361819, 127.3662152000513 36.37737979905233, 127.36623063629423 36.368364442293284, 127.35508322027701 36.368351441117824))",0,0,0,0,0,0,0,1
다바9917,81.0,54.0,"POLYGON ((127.48885511040808 36.3504080060446, 127.48885382519113 36.35942341443204, 127.50000000000001 36.359423934310946, 127.50000000000001 36.35040852575323, 127.48885511040808 36.3504080060446))",0,0,0,0,0,0,0,0
다바8204,91.0,60.0,"POLYGON ((127.29969234454028 36.23303930562043, 127.29966934413882 36.24205483629033, 127.31079876870297 36.242072954534166, 127.31082049132993 36.233057417922375, 127.29969234454028 36.23303930562043))",0,0,0,0,0,0,0,0
다바9817,31.0,14.0,"POLYGON ((127.47771022138718 36.350406446918804, 127.47770765095349 36.35942185479542, 127.48885382519113 36.35942341443204, 127.48885511040808 36.3504080060446, 127.47771022138718 36.350406446918804))",0,0,0,0,0,0,0,0
다바9400,0.0,3.0,"POLYGON ((127.43326125148674 36.19712589009268, 127.43325359822626 36.206141524114514, 127.44437799332552 36.206147210994736, 127.44438437104493 36.197131575107115, 127.43326125148674 36.19712589009268))",0,0,0,0,0,0,0,0
다바9523,15.0,12.0,"POLYGON ((127.44423696411081 36.404487754302316, 127.44423052087325 36.413503076776145, 127.45538441326153 36.41350776488567, 127.45538956785317 36.40449244087732, 127.44423696411081 36.404487754302316))",0,0,0,0,0,0,0,0
다바9615,1708.0,172.0,"POLYGON ((127.45543072222192 36.332369357852606, 127.45542558592373 36.34138479095052, 127.46656918744513 36.34138842771814, 127.46657303966968 36.332372993428855, 127.45543072222192 36.332369357852606))",0,0,1,0,0,0,0,1
다바9612,7385.0,297.0,"POLYGON ((127.45544611742866 36.30532297678221, 127.45544098797333 36.31433845076714, 127.46658073898509 36.31434208396148, 127.46658458607746 36.30532660878602, 127.45544611742866 36.30532297678221))",4,0,6,1,0,0,0,1
다바9613,15255.0,423.0,"POLYGON ((127.45544098797333 36.31433845076714, 127.4554358562381 36.323353911124364, 127.46657689018274 36.32335754550954, 127.46658073898509 36.31434208396148, 127.45544098797333 36.31433845076714))",2,1,10,0,0,0,0,1
다바8727,47.0,37.0,"POLYGON ((127.35494923129419 36.44047387904997, 127.35493244914991 36.44948912237162, 127.36609146282849 36.4495021619101, 127.36610695405166 36.44048691432202, 127.35494923129419 36.44047387904997))",0,0,0,0,0,0,0,0
다바8729,6.0,4.0,"POLYGON ((127.35491565954514 36.458504352040066, 127.3548988624764 36.46751956805403, 127.36606045971897 36.46753261612832, 127.36607596471863 36.458517395845966, 127.35491565954514 36.458504352040066))",0,0,0,0,0,0,0,0
다바8619,149.0,108.0,"POLYGON ((127.34393581168975 36.3683373998582, 127.34391780277127 36.37735274775919, 127.35506649769462 36.37736679361819, 127.35508322027701 36.368351441117824, 127.34393581168975 36.3683373998582))",0,0,0,0,0,0,0,0
다마8599,10.0,6.0,"POLYGON ((127.33317252097422 36.188012595888786, 127.33315339644375 36.19702821147153, 127.34427646500646 36.19704319916415, 127.34429431458561 36.18802757866364, 127.33317252097422 36.188012595888786))",0,0,0,0,0,0,0,0
다바8704,20.0,3.0,"POLYGON ((127.35533316931132 36.233119517373105, 127.35531655782361 36.2421350743572, 127.36644602498033 36.242148016012315, 127.36646135867421 36.23313245478397, 127.35533316931132 36.233119517373105))",0,0,0,0,0,0,0,0
다바8500,24.0,25.0,"POLYGON ((127.33315339644375 36.19702821147153, 127.3331342634141 36.206043813435805, 127.34425860749471 36.2060588060473, 127.34427646500646 36.19704319916415, 127.33315339644375 36.19702821147153))",0,0,0,0,0,0,0,0
다바9324,38.0,52.0,"POLYGON ((127.42192274526221 36.41349057515629, 127.42191372072702 36.42250587989469, 127.43306889602992 36.422512653821485, 127.4330766313492 36.41349734686603, 127.42192274526221 36.41349057515629))",0,0,0,0,0,0,0,0
다바8410,9227.0,153.0,"POLYGON ((127.32182584230208 36.287167544114766, 127.32180534287347 36.29618300455102, 127.33294246481104 36.296199083769054, 127.33296168304544 36.28718361806281, 127.32182584230208 36.287167544114766))",3,0,3,0,0,0,0,0
다바8711,11635.0,239.0,"POLYGON ((127.35521673374214 36.29622813013251, 127.35520007050465 36.30524359172783, 127.36633849813383 36.305256563119514, 127.3663538795968 36.296241097273246, 127.35521673374214 36.29622813013251))",0,0,6,0,0,0,0,0
다바9327,9529.0,1621.0,"POLYGON ((127.42189565961957 36.44053644843628, 127.42188662304363 36.449551712236875, 127.43304566943395 36.44955849281782, 127.43305341507386 36.440543226798674, 127.42189565961957 36.44053644843628))",3,0,11,0,0,0,0,0
다바9402,153.0,157.0,"POLYGON ((127.43324594156451 36.21515714452374, 127.43323828149994 36.224172751319074, 127.44436522938219 36.22417844193215, 127.44437161277169 36.215162833270185, 127.43324594156451 36.21515714452374))",0,0,0,0,0,0,0,0
다바8123,125.0,64.0,"POLYGON ((127.28810107284679 36.40431278965198, 127.28807658882222 36.41332805483711, 127.29923038898326 36.4133473280084, 127.29925358440398 36.40433205651472, 127.28810107284679 36.40431278965198))",0,0,0,0,0,0,0,0
다바8821,468.0,120.0,"POLYGON ((127.3661997569468 36.386395142169576, 127.36618430697762 36.39541047164371, 127.37733559059664 36.39542244448954, 127.37734975307941 36.38640711109564, 127.3661997569468 36.386395142169576))",0,0,0,0,0,0,0,0
다바8717,12404.0,1090.0,"POLYGON ((127.35511664315534 36.35032069519403, 127.35509993542945 36.35933607497601, 127.36624606567877 36.359349071893746, 127.36626148820795 36.35033368785502, 127.35511664315534 36.35032069519403))",1,1,8,1,0,0,0,1
다바9610,961.0,284.0,"POLYGON ((127.4554563695037 36.28729198793459, 127.4554512446051 36.29630748917092, 127.46658843146072 36.296311119984445, 127.46659227513558 36.2872956175581, 127.4554563695037 36.28729198793459))",0,0,0,0,0,0,0,0
다바9822,15.0,7.0,"POLYGON ((127.47769735778793 36.395483349951085, 127.47769478163625 36.40449868964577, 127.48884739053184 36.4045002518382, 127.48884867860781 36.395484911632124, 127.47769735778793 36.395483349951085))",0,0,0,0,0,0,0,0
다바8417,3555.0,519.0,"POLYGON ((127.32168215482052 36.35027548080223, 127.321661591526 36.359290845770744, 127.33280769778182 36.35930696191215, 127.33282697589061 36.350291591665275, 127.32168215482052 36.35027548080223))",0,2,4,0,0,1,0,0
다바8508,40.0,27.0,"POLYGON ((127.33300009390432 36.26915264575631, 127.3329808927419 36.27816813872479, 127.34411546139427 36.27818317072723, 127.34413338249671 36.26916767283098, 127.33300009390432 36.26915264575631))",0,0,0,0,0,0,0,0
다바8515,13087.0,527.0,"POLYGON ((127.33286550641654 36.33226081024985, 127.33284624543423 36.34127620777741, 127.34398979045085 36.341291274305455, 127.34400776738529 36.33227587184232, 127.33286550641654 36.33226081024985))",5,0,4,0,0,0,0,0
다바9028,0.0,1.0,"POLYGON ((127.38840951027171 36.449525111519286, 127.38839659516094 36.458540352965805, 127.39955691928147 36.458550266276, 127.39956854288863 36.44953502158626, 127.38840951027171 36.449525111519286))",0,0,0,0,0,0,0,0
다바9124,201.0,237.0,"POLYGON ((127.3996149856908 36.41347390634245, 127.39960338272952 36.42248920562353, 127.41075854943584 36.422498063828286, 127.41076886318514 36.41348276164801, 127.3996149856908 36.41347390634245))",0,0,0,0,0,0,0,0
다바9010,235.0,130.0,"POLYGON ((127.3886410034473 36.287248432505926, 127.38862819123707 36.29626391946219, 127.39976535588376 36.29627377450671, 127.39977688688036 36.28725828432044, 127.3886410034473 36.287248432505926))",0,0,1,0,0,0,0,0
다바9606,0.0,4.0,"POLYGON ((127.45547684634045 36.25122984676507, 127.45547173054284 36.26024540248843, 127.46660379591764 36.26024902854353, 127.46660763276675 36.25123347163124, 127.45547684634045 36.25122984676507))",0,0,0,0,0,0,0,0
다바7912,101.0,60.0,"POLYGON ((127.26609296395232 36.30510246355218, 127.26606603469786 36.31411786525449, 127.27720566943518 36.314139145158286, 127.27723131637966 36.30512373648289, 127.26609296395232 36.30510246355218))",0,0,0,0,0,0,0,0
다바8712,1972.0,196.0,"POLYGON ((127.35520007050465 36.30524359172783, 127.35518339986086 36.31425903969085, 127.36632310983428 36.31427201533448, 127.36633849813383 36.305256563119514, 127.35520007050465 36.30524359172783))",0,0,2,0,0,0,0,1
다바8716,2069.0,217.0,"POLYGON ((127.35513334345804 36.34130530177322, 127.35511664315534 36.35032069519403, 127.36626148820795 36.35033368785502, 127.36627690388501 36.34131829017841, 127.35513334345804 36.34130530177322))",3,0,2,0,0,0,0,0
다바8405,65.0,44.0,"POLYGON ((127.32192820292138 36.24209003746545, 127.32190774898689 36.2511055660533, 127.33303847064262 36.25112161893331, 127.33305764622624 36.242106085081424, 127.32192820292138 36.24209003746545))",0,0,0,0,0,0,0,0
다바8108,75.0,44.0,"POLYGON ((127.28846703052295 36.26908217411477, 127.28844270916196 36.278097643973815, 127.29957724026467 36.2781168226672, 127.29960028158277 36.269101346521055, 127.28846703052295 36.26908217411477))",0,0,0,0,0,0,0,0
다바9609,2901.0,350.0,"POLYGON ((127.45546149212552 36.27827647307451, 127.4554563695037 36.28729198793459, 127.46659227513558 36.2872956175581, 127.46659611710284 36.27828010150828, 127.45546149212552 36.27827647307451))",0,0,1,0,0,0,0,1
다바8911,13777.0,1011.0,"POLYGON ((127.37749103228491 36.29625302705045, 127.3774769325996 36.305268496807614, 127.38861537333224 36.30527939279017, 127.38862819123707 36.29626391946219, 127.37749103228491 36.29625302705045))",2,0,11,0,0,0,0,3
다바8102,37.0,12.0,"POLYGON ((127.28861273196026 36.21498906868574, 127.28858847535435 36.22400462033092, 127.29971533472421 36.224023761322925, 127.29973831469525 36.21500820339916, 127.28861273196026 36.21498906868574))",0,0,0,0,0,0,0,0
다바9821,27.0,17.0,"POLYGON ((127.477699932795 36.386467996617405, 127.47769735778793 36.395483349951085, 127.48884867860781 36.395484911632124, 127.48884996611146 36.38646955778715, 127.477699932795 36.386467996617405))",0,0,0,0,0,0,0,0
다바9131,0.0,0.0,"POLYGON ((127.3995336565626 36.47658071470101, 127.39952201744616 36.485595918433674, 127.4106862246979 36.48560479695137, 127.41069657058512 36.47658959031487, 127.3995336565626 36.47658071470101))",0,0,0,0,0,0,0,0
다바9524,75.0,47.0,"POLYGON ((127.44423052087325 36.413503076776145, 127.44422407477145 36.422518385607546, 127.45537925637852 36.42252307525196, 127.45538441326153 36.41350776488567, 127.44423052087325 36.413503076776145))",0,0,0,0,0,0,0,0
다바9315,9295.0,1497.0,"POLYGON ((127.42200378585251 36.33235221871668, 127.42199479734069 36.34136764619821, 127.43313839030075 36.34137440018972, 127.43314609474281 36.332358970495676, 127.42200378585251 36.33235221871668))",6,0,11,0,0,1,0,1
다바9417,12162.0,1457.0,"POLYGON ((127.43313068243411 36.350389816251365, 127.4331229711414 36.35940521867932, 127.4442691373811 36.3594109373426, 127.44427556346078 36.35039553304167, 127.43313068243411 36.350389816251365))",0,0,14,0,0,1,0,1
다바8210,78.0,52.0,"POLYGON ((127.29955418870583 36.28713228517909, 127.29953112690151 36.29614773405539, 127.31066823004717 36.29616588797888, 127.3106900106658 36.28715043315261, 127.29955418870583 36.28713228517909))",0,0,0,0,0,0,0,0
다바8214,125.0,73.0,"POLYGON ((127.29946187996926 36.32319399885756, 127.29943877713649 36.33220939317829, 127.31058101072168 36.33222757091515, 127.3106028300895 36.32321217063905, 127.29946187996926 36.32319399885756))",0,0,0,0,0,0,0,0
다바8603,38.0,45.0,"POLYGON ((127.34422286865899 36.22408997895613, 127.34420498732781 36.23310554497917, 127.35533316931132 36.233119517373105, 127.35534977341963 36.22410394676732, 127.34422286865899 36.22408997895613))",0,0,0,0,0,0,0,0
다바8920,1496.0,165.0,"POLYGON ((127.37736390926953 36.37739176405951, 127.37734975307941 36.38640711109564, 127.38849975550464 36.38641803925202, 127.38851262477753 36.37740268863779, 127.37736390926953 36.37739176405951))",1,0,5,0,0,0,1,0
다바9512,6370.0,1195.0,"POLYGON ((127.44430765105872 36.30531830706406, 127.4443012392415 36.31433377951827, 127.45544098797333 36.31433845076714, 127.45544611742866 36.30532297678221, 127.44430765105872 36.30531830706406))",2,0,6,0,0,0,0,0
다바8925,9416.0,162.0,"POLYGON ((127.3772930653638 36.42246836280487, 127.37727887768176 36.43148364161686, 127.3884353232792 36.43149458767601, 127.38844822118115 36.42247930528185, 127.3772930653638 36.42246836280487))",4,0,4,2,0,0,0,1
다바7910,108.0,70.0,"POLYGON ((127.26614678657522 36.287071619220676, 127.26611988124297 36.296087048207134, 127.27725695193 36.29610831416633, 127.27728257609137 36.28709287820993, 127.26614678657522 36.287071619220676))",0,0,0,0,0,0,0,0
다바9411,613.0,252.0,"POLYGON ((127.43317687829685 36.296297115421794, 127.43316918753736 36.30531259963229, 127.44430765105872 36.30531830706406, 127.44431406002732 36.29630282098312, 127.43317687829685 36.296297115421794))",0,0,0,0,0,0,0,0
다바8908,70.0,44.0,"POLYGON ((127.3775332937681 36.269206536009676, 127.3775192128663 36.278222046650164, 127.38865380996556 36.27823293192269, 127.38866661079442 36.269217417713804, 127.3775332937681 36.269206536009676))",0,0,0,0,0,0,0,0
다바8411,13641.0,232.0,"POLYGON ((127.32180534287347 36.29618300455102, 127.32178483433364 36.305198451352986, 127.33292323803485 36.3052145358422, 127.33294246481104 36.296199083769054, 127.32180534287347 36.29618300455102))",4,0,5,1,0,0,0,1
다바9718,16.0,8.0,"POLYGON ((127.46656147785845 36.35941925540133, 127.46655762049473 36.36843464879262, 127.47770507937724 36.36843724903825, 127.47770765095349 36.35942185479542, 127.46656147785845 36.35941925540133))",0,0,0,0,0,0,0,0
다바9414,12063.0,1601.0,"POLYGON ((127.43315379576192 36.323343527170536, 127.43314609474281 36.332358970495676, 127.4442884070561 36.33236468354129, 127.44429482457441 36.32334923834445, 127.43315379576192 36.323343527170536))",1,1,11,0,0,0,0,2
다바8621,6425.0,662.0,"POLYGON ((127.3438997858477 36.38636808201636, 127.34388176091534 36.395383402628404, 127.35503303022641 36.39539745768929, 127.35504976767889 36.38638213247579, 127.3438997858477 36.38636808201636))",2,0,1,0,0,0,0,2
다바8910,3811.0,419.0,"POLYGON ((127.37750512570621 36.2872375436642, 127.37749103228491 36.29625302705045, 127.38862819123707 36.29626391946219, 127.3886410034473 36.287248432505926, 127.37750512570621 36.2872375436642))",0,0,1,0,0,0,0,0
다바9403,46.0,35.0,"POLYGON ((127.43323828149994 36.224172751319074, 127.43323061803105 36.23318834449919, 127.44435884315575 36.233194036979306, 127.44436522938219 36.22417844193215, 127.43323828149994 36.224172751319074))",0,0,0,0,0,0,0,0
다바9021,137.0,80.0,"POLYGON ((127.38849975550464 36.38641803925202, 127.38848688051118 36.39543337622486, 127.39963817614893 36.39544326684787, 127.39964976365047 36.38642792663696, 127.38849975550464 36.38641803925202))",0,0,0,0,0,0,0,0
다바8409,66.0,29.0,"POLYGON ((127.32184633262356 36.278152070045536, 127.32182584230208 36.287167544114766, 127.33296168304544 36.28718361806281, 127.3329808927419 36.27816813872479, 127.32184633262356 36.278152070045536))",0,0,0,0,0,0,0,0
다바9511,6566.0,1951.0,"POLYGON ((127.44431406002732 36.29630282098312, 127.44430765105872 36.30531830706406, 127.45544611742866 36.30532297678221, 127.4554512446051 36.29630748917092, 127.44431406002732 36.29630282098312))",1,0,9,0,0,0,0,1
다바8715,203.0,17.0,"POLYGON ((127.35515003634094 36.33228989471487, 127.35513334345804 36.34130530177322, 127.36627690388501 36.34131829017841, 127.36629231271299 36.332302878865256, 127.35515003634094 36.33228989471487))",1,0,0,0,0,0,0,0
다바8208,0.0,3.0,"POLYGON ((127.29960028158277 36.269101346521055, 127.29957724026467 36.2781168226672, 127.31071178160819 36.278134964692086, 127.3107335428787 36.269119482598654, 127.29960028158277 36.269101346521055))",0,0,0,0,0,0,0,0
다바9814,71.0,34.0,"POLYGON ((127.4777179258381 36.323360141499364, 127.47771535882896 36.332375590269464, 127.48885767912923 36.332377148374, 127.48885896263393 36.32336169909341, 127.4777179258381 36.323360141499364))",0,0,0,0,0,0,0,0
다바8601,13.0,9.0,"POLYGON ((127.34425860749471 36.2060588060473, 127.34424074204675 36.215074399311725, 127.35536637015193 36.215088362541216, 127.35538295951152 36.20607276469612, 127.34425860749471 36.2060588060473))",0,0,0,0,0,0,0,0
다바9422,58.0,51.0,"POLYGON ((127.43309209167813 36.395466692027924, 127.43308436323143 36.40448202626774, 127.44423696411081 36.404487754302316, 127.44424340448549 36.39547241818738, 127.43309209167813 36.395466692027924))",0,0,0,0,0,0,0,0
다바7812,24.0,15.0,"POLYGON ((127.25495462348881 36.30508015294286, 127.2549264119298 36.314095547331924, 127.26606603469786 36.31411786525449, 127.26609296395232 36.30510246355218, 127.25495462348881 36.30508015294286))",0,0,0,0,0,0,0,0
다바9603,73.0,42.0,"POLYGON ((127.4554921801014 36.224183097889565, 127.45548707111871 36.233198694464306, 127.46661530135225 36.23320231695342, 127.46661913309018 36.22418671919055, 127.4554921801014 36.224183097889565))",0,0,0,0,0,0,0,0
